--------- beginning of /dev/log/main
launcher
01-31 18:31:13.678  2177  2177 I ActivityManagerProxy: enter startActivity
01-31 18:31:14.029  3447  3447 V ContentProviderNative: enter ContentProviderNative()
01-31 18:31:14.029  3447  3447 V ContentProvider: enter ContentProvider()
01-31 18:31:14.029  3447  3447 V ContentProvider: enter getIContentProvider()
01-31 18:31:14.029  3447  3447 V ContentProvider: enter attachInfo()
01-31 18:31:14.039  1832  1843 I ActivityManagerService: checkComponentPermission: , permission: null, pid: 3447, uid: 10077, owningUid: 10060, exported: true
01-31 18:31:14.039  3447  3447 V ContentProvider: enter setReadPermission(): null
01-31 18:31:14.039  3447  3447 V ContentProvider: enter setWritePermission(): null
01-31 18:31:14.039  3447  3447 V ContentProvider: enter setPathPermissions()
01-31 18:31:14.039  3447  3447 V ContentProvider: attachInfo(), readPermission: null, writePermission: null, pathPermissions: null, exported: true
01-31 18:31:14.039  3447  3447 V ActivityThread: enter installProvider() 4
01-31 18:31:14.039  3447  3447 V ActivityThread: enter installContentProviders() 1
01-31 18:31:14.039  3447  3447 I ActivityThread: Pub com.example.android.apis.SuggestionProvider: com.example.android.apis.app.SearchSuggestionSampleProvider
01-31 18:31:14.039  3447  3447 V ActivityThread: enter installProvider()
01-31 18:31:14.039  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.039  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.039  3447  3447 V ActivityThread: enter installProvider() 1
01-31 18:31:14.039  3447  3447 V ActivityThread: enter installProvider() 2
01-31 18:31:14.039  3447  3447 V ActivityThread: enter installProvider() 3
01-31 18:31:14.039  3447  3447 V ContentProviderNative: enter ContentProviderNative()
01-31 18:31:14.039  3447  3447 V ContentProvider: enter ContentProvider()
01-31 18:31:14.039  3447  3447 V ContentProvider: enter getIContentProvider()
01-31 18:31:14.049  3447  3447 V ContentProvider: enter attachInfo()
01-31 18:31:14.049  1832  2243 I ActivityManagerService: checkComponentPermission: , permission: null, pid: 3447, uid: 10077, owningUid: 10060, exported: true
01-31 18:31:14.049  3447  3447 V ContentProvider: enter setReadPermission(): null
01-31 18:31:14.049  3447  3447 V ContentProvider: enter setWritePermission(): null
01-31 18:31:14.049  3447  3447 V ContentProvider: enter setPathPermissions()
01-31 18:31:14.049  3447  3447 V ContentProvider: attachInfo(), readPermission: null, writePermission: null, pathPermissions: null, exported: true
01-31 18:31:14.049  3447  3447 V ActivityThread: enter installProvider() 4
01-31 18:31:14.049  3447  3447 V ActivityThread: enter installContentProviders() 1
01-31 18:31:14.049  3447  3447 V ActivityThread: enter installContentProviders() 2
01-31 18:31:14.049  1832  1844 V ContentProviderNative: enter asInterface()
01-31 18:31:14.049  1832  1844 V ContentProviderProxy: enter ContentProviderProxy()
01-31 18:31:14.049  1832  1844 V ContentProviderNative: enter asInterface()
01-31 18:31:14.049  1832  1844 V ContentProviderProxy: enter ContentProviderProxy()
01-31 18:31:14.049  1832  1844 V ContentProviderNative: enter asInterface()
01-31 18:31:14.049  1832  1844 V ContentProviderProxy: enter ContentProviderProxy()
01-31 18:31:14.049  1832  1844 I ActivityManagerService: publishContentProviders
01-31 18:31:14.049  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.049  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.059  3447  3447 V ActivityThread: enter installContentProviders() 2
01-31 18:31:14.059  3447  3447 I ActivityThread: performLaunchActivity
01-31 18:31:14.059  3447  3447 I ActivityThread: ActivityClientRecord: ActivityRecord{41351320 token=android.os.BinderProxy@41350af0 {com.example.android.apis/com.example.android.apis.ApiDemos}}
01-31 18:31:14.059  3447  3447 V ContentResolver: enter ContentResolver()
01-31 18:31:14.059  3447  3447 V ApplicationContentResolver: enter ApplicationContentResolver()
01-31 18:31:14.069  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.069  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.089  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.089  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.099  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.099  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.119  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.119  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.129  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.129  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.159  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.159  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.159  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.159  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.179  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.179  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.189  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.189  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.199  3447  3448 D dalvikvm: GC_CONCURRENT freed 106K, 2% free 9493K/9671K, paused 2ms+2ms
01-31 18:31:14.209  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.209  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.219  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.219  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.239  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.239  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.249  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.249  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.269  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.269  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.279  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.279  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.289  3447  3447 D PackageItemInfo: load activity icon : com.example.android.apis.ApiDemos
01-31 18:31:14.289  3447  3447 D PackageItemInfo: load application icon : com.example.android.apis
01-31 18:31:14.299  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.299  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.319  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.319  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.329  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.329  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.339  3447  3448 D dalvikvm: GC_CONCURRENT freed 595K, 8% free 9340K/10055K, paused 2ms+2ms
01-31 18:31:14.349  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.349  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.359  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.359  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.379  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.379  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.389  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.389  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.409  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.409  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.419  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.419  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.439  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.439  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.459  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.459  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.469  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.469  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.489  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.489  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.489  1832  2176 D dalvikvm: GC_EXPLICIT freed 593K, 10% free 14478K/16071K, paused 4ms+6ms
01-31 18:31:14.499  3447  3447 V ContentProvider.mPermConnection: enter onServiceConnected()
01-31 18:31:14.499  3447  3447 V ContentProvider.mPermConnection: enter onServiceConnected()
01-31 18:31:14.499  3447  3447 V ContentProvider.mPermConnection: enter onServiceConnected()
01-31 18:31:14.499  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.499  1832  1900 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.509  1529  1625 I libblt_hw: Library opened (handle = 5, fd = 24)
01-31 18:31:14.509  1832  1901 I ActivityManagerService: checkComponentPermission: , permission: android.permission.STATUS_BAR_SERVICE, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.509  1832  1901 I ActivityManagerService: checkComponentPermission: , permission: android.permission.STATUS_BAR, pid: 1832, uid: 1000, owningUid: -1, exported: true
01-31 18:31:14.519  1832  2243 I ActivityManagerService: checkComponentPermission: , permission: android.permission.DEVICE_POWER, pid: 1832, uid: 1000, owningUid: -1, exported: true
